distance,pond_airblast_orchard,pond_airblast_vineyard,pond_ground_high_f2m,pond_ground_high_vf2f,pond_ground_low_f2m,pond_ground_low_vf2f,pond_aerial_c2vc,pond_aerial_m2c,pond_aerial_f2m,pond_aerial_vf2f
282,0.000283,2.16E-05,0.00062,0.000976,0.0005191,0.000799,0.002537,0.004958,0.01053,0.0371
283,0.0002804,2.13E-05,0.0006145,0.0009615,0.0005155,0.0007925,0.0025235,0.004939,0.01049,0.03695
284,0.0002778,2.10E-05,0.000609,0.000947,0.0005119,0.000786,0.00251,0.00492,0.01045,0.0368
285,0.0002752,2.07E-05,0.0006035,0.0009325,0.0005083,0.0007795,0.0024965,0.004901,0.01041,0.03665
286,0.0002726,2.03E-05,0.000598,0.000918,0.0005047,0.000773,0.002483,0.004882,0.01037,0.0365
287,0.00027,2.00E-05,0.0005925,0.0009035,0.0005011,0.0007665,0.0024695,0.004863,0.01033,0.03635
288,0.0002674,1.97E-05,0.000587,0.000889,0.0004975,0.00076,0.002456,0.004844,0.01029,0.0362
289,0.0002648,1.94E-05,0.0005815,0.0008745,0.0004939,0.0007535,0.0024425,0.004825,0.01025,0.03605
290,0.0002622,1.91E-05,0.000576,0.00086,0.0004903,0.000747,0.002429,0.004806,0.01021,0.0359
291,0.0002596,1.88E-05,0.0005705,0.0008455,0.0004867,0.0007405,0.0024155,0.004787,0.01017,0.03575
292,0.000257,1.84E-05,0.000565,0.000831,0.0004831,0.000734,0.002402,0.004768,0.01013,0.0356
293,0.0002544,1.81E-05,0.0005595,0.0008165,0.0004795,0.0007275,0.0023885,0.004749,0.01009,0.03545
294,0.0002518,1.78E-05,0.000554,0.000802,0.0004759,0.000721,0.002375,0.00473,0.01005,0.0353
295,0.0002492,1.75E-05,0.0005485,0.0007875,0.0004723,0.0007145,0.0023615,0.004711,0.01001,0.03515
296,0.0002466,1.72E-05,0.000543,0.000773,0.0004687,0.000708,0.002348,0.004692,0.00997,0.035
297,0.000244,1.69E-05,0.0005375,0.0007585,0.0004651,0.0007015,0.0023345,0.004673,0.00993,0.03485
298,0.0002414,1.66E-05,0.000532,0.000744,0.0004615,0.000695,0.002321,0.004654,0.00989,0.0347
299,0.0002388,1.62E-05,0.0005265,0.0007295,0.0004579,0.0006885,0.0023075,0.004635,0.00985,0.03455
